SMILES,ID,Reference,Classification,ReactionName
CCOC(=O)CC#N.CCOC(=O)C=Cc1ccc(cc1)F>CC(=O)O.CCO[Na]>CCOC(=O)CC(c1ccc(cc1)F)C(C#N)C(=O)OCC,US20040147754A1_0072,EXAMPLE 8,3.11.92,Michael addition
COC(=O)CC(=O)OC.COC(=O)/C=C/c1ccc(cc1)F>CO.CO[Na].C1CCOC1>COC(=O)C(C(=O)OC)C(CC(=O)OC)c1ccc(cc1)F,US20040167171A1_0619,,3.11.92,Michael addition
C=C(CC)CCC(=O)N1C(OC[C@H]1Cc1ccccc1)=O.C=CC#N>CC(C)N(CC)C(C)C.Cl[Ti](Cl)Cl.ClCCl>C=C(CC)C[C@@H](CCC#N)C(=O)N1C(OC[C@H]1Cc1ccccc1)=O,US20040186286A1_C00022,,3.11.92,Michael addition
C=CC(C)=O.CC(=O)Nc1ccc2C(C(Cc2c1)CCCC)=O>CO.CO[Na]>CCCCC1(Cc2cc(ccc2C1=O)NC(C)=O)CCC(C)=O,US20040210080A1_C00008,,3.11.92,Michael addition
C=CC(=O)CC.CC(=O)Nc1ccc2C(C(Cc2c1Br)CC)=O>CO.CO[Na]>CCC(=O)CCC1(Cc2c(c(ccc2C1=O)N)Br)CC,US20040210080A1_C00028,,3.11.92,Michael addition
C=CC(C)=O.CC(=O)Nc1ccc2C(C(Cc2c1)CCCC)=O>CO.CO[Na]>CCCCC1(Cc2cc(ccc2C1=O)NC(C)=O)CCC(C)=O,US20040210080A1_0232,,3.11.92,Michael addition
C=CC(C)=O.CCCCC1Cc2c(cc(c(c2Cl)N)F)C1=O>CO.CO[Na]>CCCCC1(Cc2c(c(c(cc2C1=O)F)N)Cl)CCC(C)=O,US20040210080A1_0245,"EXAMPLE 2, Step 7",3.11.92,Michael addition
C=CC(C)=O.CCCCC1Cc2cc(c(cc2C1=O)F)N>CCO.CO[Na].ClCCl>CC(=O)CCC1(Cc2cc(c(cc2C1=O)F)N)CCCC,US20040210080A1_0261,"EXAMPLE 6, Step 1",3.11.92,Michael addition
C=CC(=O)CC.CCCCC1Cc2cc(c(cc2C1=O)F)N>CCO.CO[Na].ClCCl>CCC(=O)CCC1(Cc2cc(c(cc2C1=O)F)N)CCCC,US20040210080A1_0266,"EXAMPLE 7, Step 1",3.11.92,Michael addition
C=CC(=O)CCC.CCCCC1Cc2c(cc(c(c2F)N)F)C1=O>[Br-].C=C[C@H]1C[N+]2(CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc21)Cc1ccc(cc1)C(F)(F)F.Cc1ccccc1.O[K].ClCCl>CCCCC1(Cc2c(c(c(cc2C1=O)F)N)F)CCC(=O)CCC |f:2.3|,US20040210080A1_0300,"EXAMPLE 16, Step 1",3.11.92,Michael addition
C=CC(=O)CC.CC(=O)Nc1ccc2C(C(Cc2c1Br)CC)=O>CO.CO[Na]>CCC(=O)CCC1(Cc2c(c(ccc2C1=O)N)Br)CC,US20040210080A1_0315,"EXAMPLE 18, Step 3",3.11.92,Michael addition
C/C=C/C(=O)OC.CCS(=O)(=O)c1ccccc1>CN1CCCN(C1=O)C.CCCC[Li].C1CCOC1>COC(=O)CC(C)C(C)S(=O)(=O)c1ccccc1,US20040229864A1_0198,,3.11.92,Michael addition
C=CC#N.N#CCCCCC#N>>N#CCCC(C#N)CCCC#N,US20050010021A1_0008,,3.11.92,Michael addition
COC(=O)CC(=O)OC.CCCCCC1=CCCC1=O>CO[Na]>CCCCCC1C(CCC1C(C(=O)OC)C(=O)OC)=O,US20050014968A1_0054,,3.11.92,Michael addition
CCOC(=O)CC(=O)OCC.CCOC(=O)/C=C/c1cc(cc(c1)OC)F>>CCOC(=O)C(C(=O)OCC)C(CC(=O)OCC)c1cc(cc(c1)F)OC,US20050043344A1_C00090,,3.11.92,Michael addition
CCOC(=O)CC(=O)OCC.CCOC(=O)/C=C/c1ccc2sc(nc2c1)C>>CCOC(=O)C(C(=O)OCC)C(CC(=O)OCC)c1ccc2sc(nc2c1)C,US20050043344A1_C00095,,3.11.92,Michael addition
CCOC(=O)CC(=O)OCC.CCOC(=O)C=Cc1ccc2ccoc2c1>CCOCC.CCO[Na]>CCOC(=O)C(C(=O)OCC)C(CC(=O)OCC)c1ccc2ccoc2c1,US20050043344A1_0768,"EXAMPLE 39, STEP 1",3.11.92,Michael addition
C=CCOC(=O)CC(=O)OCC=C.CC(=O)OCC(=O)C1=CC[C@@H]2[C@@]1(C[C@@H]([C@]1([C@H]2CCC2[C@@]1(C=CC(C=2)=O)C)F)O)C>CN(C)C=O.C1CN=C2CCCCCN2C1>C=CCOC(=O)C(C(=O)OCC=C)[C@@H]1C[C@H]2[C@@H]3CCC4=CC(C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)COC(C)=O)C)O)F)C)=O,US20050070515A1_0185,Example 5,3.11.92,Michael addition
CCOC(=O)CC(=O)OCC.COc1ncc(cn1)/C=C/C(=O)CCCCc1ccc2CCCCNc2n1>CCO[Na]>CCOC(=O)C(C(=O)OCC)C(CC(=O)CCCCc1ccc2CCCCNc2n1)c1cnc(nc1)OC,US20050101593A1_C00006,,3.11.92,Michael addition
CCOC(=O)CC(=O)OCC.COc1ncc(cn1)C=CC(=O)CCCCc1ccc2CCCCNc2n1>CCO.CCO[Na].C1CCOC1>CCOC(=O)C(C(=O)OCC)[C@H](CC(=O)CCCCc1ccc2CCCCNc2n1)c1cnc(nc1)OC |&1:61|,US20050101593A1_0060,,3.11.92,Michael addition
CCOC(=O)CC(=O)OCC.N#CC=Cc1ccccc1>Cc1ccccc1>CCOC(=O)C(C(=O)OCC)C(CC#N)c1ccccc1,US20050101787A1_0371,Example 17,3.11.92,Michael addition
C=CC(C)=O.COc1ccc2C(C(Cc2c1)C)=O>CCOC(C)=O.C1CCOC1.C1CN=C2CCCCCN2C1>CC(=O)CCC1(Cc2cc(ccc2C1=O)OC)C,US20050137192A1_0192,"EXAMPLE 1, Step 3",3.11.92,Michael addition
C=CC(=O)CC.COc1ccc2C(C(Cc2c1)CCCC)=O>C1CCOC1.C1CN=C2CCCCCN2C1>CCC(=O)CCC1(Cc2cc(ccc2C1=O)OC)CCCC,US20050137192A1_0203,"EXAMPLE 2, Step 2",3.11.92,Michael addition
C=CC(C)=O.COc1ccc2C(C(Cc2c1C)CCCC)=O>CCOCC.C1CCOC1.C1CN=C2CCCCCN2C1>CC(=O)CCC1(Cc2c(c(ccc2C1=O)OC)C)CCCC,US20050137192A1_0281,"EXAMPLE 13, Step 3",3.11.92,Michael addition
C=CC(=O)CC.COc1ccc2C(C(Cc2c1C)CCCC)=O>CCOC(C)=O.C1CCOC1.C1CN=C2CCCCCN2C1>CCCCC1(Cc2c(c(ccc2C1=O)OC)C)CCC(=O)CC,US20050137192A1_0298,"EXAMPLE 15, Step 1",3.11.92,Michael addition
C=CC(=O)CC.COc1ccc2C(C(Cc2c1Cl)CCCC)=O>CCOC(C)=O.C1CCOC1.C1CN=C2CCCCCN2C1>CCCCC1(Cc2c(c(ccc2C1=O)OC)Cl)CCC(=O)CC,US20050137192A1_0307,"EXAMPLE 16, Step 2",3.11.92,Michael addition
C=CC(=O)CC.COc1ccc2C(C(Cc2c1)CCO)=O>CO.CCOC(C)=O.CO[Na]>CCC(=O)CCC1(Cc2cc(ccc2C1=O)OC)CCO,US20050137192A1_0425,"EXAMPLE 34, Step 2",3.11.92,Michael addition
COC(=O)/C(=C\c1ccc(cc1)F)C(=O)C(C)C.CC(C)(C)OC(=O)N1CCCCC1=O>C[Si](C)(C)[N-][Si](C)(C)C.C1CCOC1.[Li+]>CC(C)C(=O)C(C(=O)OC)C(c1ccc(cc1)F)C1CCCN(C1=O)C(=O)OC(C)(C)C |f:2.4|,US20050171140A1_C00144,,3.11.92,Michael addition
COC(=O)C(=Cc1ccc(cc1)F)C(=O)C(C)C.CC(C)(C)OC(=O)N1CCCCC1=O>C[Si](C)(C)N([Si](C)(C)C)[Li].C1CCOC1>CC(C)C(=O)C(C(=O)OC)C(c1ccc(cc1)F)C1CCCN(C1=O)C(=O)OC(C)(C)C,US20050171140A1_0702,"Example 26, Step A",3.11.92,Michael addition
COC(=O)CS(=O)(=O)c1ccccc1.O=C1C=CCCC1>[NH4+].[Cl-].CO.CO[Na]>COC(=O)C(C1CCCC(C1)=O)S(=O)(=O)c1ccccc1 |f:2.3|,US20050215577A1_0307,,3.11.92,Michael addition
COC(=O)CS(=O)(=O)c1ccccc1.O=C1C=CCC1>[NH4+].[Cl-].CO.CO[Na]>COC(=O)C(C1CCC(C1)=O)S(=O)(=O)c1ccccc1 |f:2.3|,US20050215577A1_0330,,3.11.92,Michael addition
COC(=O)CS(=O)(=O)c1cccc2ccccc21.O=C1C=CCCC1>[NH4+].[Cl-].CO.CO[Na]>COC(=O)C(C1CCCC(C1)=O)S(=O)(=O)c1cccc2ccccc21 |f:2.3|,US20050215577A1_0342,,3.11.92,Michael addition
CC(=O)C(=O)/C=C/c1ccc(cc1)Br>>O=C1CC(CC1=O)c1ccc(cc1)Br,US20050224756A1_C00016,,3.11.92,Michael addition
C=CC(=O)OCC.CC(=O)CC(C)=O>CCCCCCCCP(CCCCCCCC)CCCCCCCC.CCOCC.CC(=O)O>CC(=O)C(CCC(=O)OCC)C(C)=O,US20050256218A1_0205,"Example 24, Step a",3.11.92,Michael addition
C=CC(=O)OC.CC(=O)CC(C)=O>[Na]>CC(=O)C(CCC(=O)OC)C(C)=O,US20050256218A1_0219,,3.11.92,Michael addition
O=CC1CCOCC1.C=CC#N>C[N+](C)(C)Cc1ccccc1.C1COCCO1.[OH-]>N#CCCC1(CCOCC1)C=O |f:2.4|,US20050261322A1_0151,,3.11.92,Michael addition
C=CC(C)=O.COc1ccc2C(C(CCc2c1)CCCC)=O>C1CCOC1.C1CN=C2CCCCCN2C1>CCCCC1(CCc2cc(ccc2C1=O)OC)CCC(C)=O,US20060041003A1_C00018,,3.11.92,Michael addition
C=CC(C)=O.COc1ccc2C(C(CCc2c1)CCCC)=O>C1CCOC1.C1CN=C2CCCCCN2C1>CCCCC1(CCc2cc(ccc2C1=O)OC)CCC(C)=O,US20060041003A1_0254,"EXAMPLE 10, Step 2",3.11.92,Michael addition
C=CC(=O)CC.COc1ccc2C(C(Cc2c1)CCO)=O>CO.CO[Na]>CCC(=O)CCC1(Cc2cc(ccc2C1=O)OC)CCO,US20060094779A1_C00014,,3.11.92,Michael addition
C=CC(=O)CC.COc1ccc2C(C(Cc2c1)CCO)=O>CO.CCOC(C)=O.CO[Na]>CCC(=O)CCC1(Cc2cc(ccc2C1=O)OC)CCO,US20060094779A1_0214,,3.11.92,Michael addition
CCOC(=O)CC(=O)Nc1cncc(c1)C(F)(F)F.CCOC(=O)/C(=C\c1ccc(cc1)C#N)C(C)=O>CCCC[N+](CCCC)(CCCC)CCCC.C1CCOC1.[F-]>CCOC(=O)C(C(C)=O)C(c1ccc(cc1)C#N)C(C(=O)OCC)C(=O)Nc1cncc(c1)C(F)(F)F |f:2.4|,US20060100207A1_0345,Example 33A,3.11.92,Michael addition
C=C(C)C#N.CCOC(=O)CC(=O)OCC>CCO.CC(=O)O.[Na]>CCOC(=O)C(CC(C)C#N)C(=O)OCC,US20060276496A1_0279,,3.11.92,Michael addition
C=C(CC)CCC(=O)N1C(OC[C@H]1Cc1ccccc1)=O.C=CC#N>CC(C)N(CC)C(C)C.Cl[Ti](Cl)Cl.ClCCl>C=C(CC)C[C@@H](CCC#N)C(=O)N1C(OC[C@H]1Cc1ccccc1)=O,US20060293357A1_C00021,,3.11.92,Michael addition
COC(=O)CC(=O)OC.COC(=O)/C=C/c1ccc(cc1)F>CO.CO[Na].C1CCOC1>COC(=O)C(C(=O)OC)C(CC(=O)OC)c1ccc(cc1)F,US20070149558A1_0504,,3.11.92,Michael addition
O=S(=O)(C1=CCOc2c(ccc(c12)F)F)c1ccc(cc1)Cl.CC(=O)CCOCc1ccccc1>CC(C)[N-]C(C)C.[Li+]>O=C(CCOCc1ccccc1)C[C@@H]1COc2c(ccc(c2[C@H]1S(=O)(=O)c1ccc(cc1)Cl)F)F |f:2.3|,US20070197581A1_C00204,,3.11.92,Michael addition
C=CC#N.O=C1CC[C@]2(c3c(OC[C@H]2C1)c(ccc3F)F)S(=O)(=O)c1ccc(cc1)Cl>CCCCO[K]>N#CCC[C@@H]1C(CC[C@]2(c3c(ccc(c3OC[C@@H]12)F)F)S(=O)(=O)c1ccc(cc1)Cl)=O,US20070197581A1_C00289,,3.11.92,Michael addition
O=C1CC[C@]2(c3c(OC[C@H]2C1)c(ccc3F)F)[S@@](=O)(=O)c1ccc(cc1)C(F)(F)F.C=CS(=O)(=O)c1ccccc1>CC(C)(C)O>O=C1CC[C@]2(c3c(ccc(c3OC[C@H]2[C@@H]1CCS(=O)(=O)c1ccccc1)F)F)[S@@](=O)(=O)c1ccc(cc1)C(F)(F)F,US20070197581A1_C00747,,3.11.92,Michael addition
O=S(=O)(C1=CCOc2c(ccc(c12)F)F)c1ccc(cc1)Cl.CC(=O)CCOCc1ccccc1>CC(C)NC(C)C.CCOC(C)=O.CCCC[Li].C1CCOC1.O>O=C(CCOCc1ccccc1)CC1COc2c(ccc(c2C1S(=O)(=O)c1ccc(cc1)Cl)F)F,US20070197581A1_0606,"Example 17, Step 4",3.11.92,Michael addition
CCOC(=O)C(=Cc1ccc(cc1)F)C(=O)C(C)C.O=C1CCCCc2cc(ccc12)N(Cc1ccccc1)Cc1ccccc1>>CCOC(=O)C(C(=O)C(C)C)C(c1ccc(cc1)F)C1CCCc2cc(ccc2C1=O)N(Cc1ccccc1)Cc1ccccc1,US20070249583A1_C00213,,3.11.92,Michael addition
CCOC(=O)CC(=O)OCC.CC(C)C/C=C(\C#N)C(=O)OCC>>CCOC(=O)C(C(=O)OCC)C(CC(C)C)C(C#N)C(=O)OCC,US20070259917A1_C00003,,3.11.92,Michael addition
C=CC(C)=O.COc1cc2CC(C(c2cc1Cl)=O)CCF>Cc1ccccc1.O[K]>CC(=O)CCC1(Cc2cc(c(cc2C1=O)Cl)OC)CCF,US20070265318A1_C00020,,3.11.92,Michael addition
C=CC(C)=O.COc1cc2CC(C(c2cc1Cl)=O)CCF>[Br-].C=C[C@H]1C[N+]2(CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc21)Cc1ccc(cc1)C(F)(F)F.Cc1ccccc1.O[K].ClCCl>CC(=O)CCC1(Cc2cc(c(cc2C1=O)Cl)OC)CCF |f:2.3|,US20070265318A1_0222,"EXAMPLE 1, Step 4",3.11.92,Michael addition
C=CC(C)=O.CC1CN(CCC1=O)Cc1ccccc1>Cl.Cc1ccccc1.C[C@@H](N)c1ccccc1.Oc1ccc(cc1)O.C1CCOC1>CC(=O)CC[C@@]1(CN(CCC1=O)Cc1ccccc1)C,US20070281928A1_0328,,3.11.92,Michael addition
C=CC(=O)CC.COc1ccc2C(C(Cc2c1)CCO)=O>CO.CO[Na]>CCC(=O)CCC1(Cc2cc(ccc2C1=O)OC)CCO,US20070293706A1_C00014,,3.11.92,Michael addition
C=CC(=O)CC.COc1ccc2C(C(Cc2c1)CCO)=O>CO.CCOC(C)=O.CO[Na]>CCC(=O)CCC1(Cc2cc(ccc2C1=O)OC)CCO,US20070293706A1_0096,"EXAMPLE 2, Step 2",3.11.92,Michael addition
C=C(CC(=O)OC)C(=O)OC.COC(=O)CC(=O)OC>[Na].[NaH]>COC(=O)CC(CC(C(=O)OC)C(=O)OC)C(=O)OC,US20080027241A1_0002,,3.11.92,Michael addition
O=C(CC(=O)Nc1cccc(c1)C(F)(F)F)OCc1ccccc1.CC(=O)C(=Cc1ccc(cc1)C#N)C(C)=O>CCCC[N+](CCCC)(CCCC)CCCC.C1CCOC1.[F-]>CC(=O)C(C(C)=O)C(c1ccc(cc1)C#N)C(C(=O)Nc1cccc(c1)C(F)(F)F)C(=O)OCc1ccccc1 |f:2.4|,US20080045541A1_0270,Example 5A,3.11.92,Michael addition
COC(=O)CC(C)=O.COC(=O)/C=C(/[H])[H]>C1CN=C2CCCCCN2C1>COC(=O)C(CCC(=O)OC)C(C)=O,US20080102271A1_C00002,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>>CC(C)(C=O)CCC#N,US20090042973A1_C00872,,3.11.92,Michael addition
C=CC#N.O=CC1CCCC1>>N#CCCC1(CCCC1)C=O,US20090042973A1_C00895,,3.11.92,Michael addition
C=CC#N.O=CC1CCCCC1>>N#CCCC1(CCCCC1)C=O,US20090042973A1_C00899,,3.11.92,Michael addition
CC(C)C=O.C=CC#N>Oc1ccc(cc1)O.C1COCCO1.O[Na]>CC(C)(C=O)CCC#N,US20090042973A1_0160,"COMPOUND 1, Step 1",3.11.92,Michael addition
C=CC(=O)OCC.COC(=O)CC(=O)OC>C1CCOC1.[NaH]>COC(=O)C(CCC(=O)OCC)C(=O)OC,US20090062265A1_0374,"Example 18, Step a",3.11.92,Michael addition
O=C1CCCc2cccnc12.C=CC#N>CC(C)NC(C)C.CCCC[Li].C1CCOC1>N#CCCC1CCc2cccnc2C1=O,US20090093454A1_0174,Example 1,3.11.92,Michael addition
C=CC#N.CC(C)C=O>>CC(C)(C=O)CCC#N,US20090111965A1_C00046,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>>CC(C)(C=O)CCC#N,US20090112024A1_C00051,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>CO>CC(C)(C=O)CCC#N,US20090111965A1_0170,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>CO>CC(C)(C=O)CCC#N,US20090112024A1_0141,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>>CC(C)(C=O)CCC#N,US20090130849A1_C00111,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>CO>CC(C)(C=O)CCC#N,US20090130849A1_0280,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>>CC(C)(C=O)CCC#N,US20090130849A1_C00111,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>CO>CC(C)(C=O)CCC#N,US20090130849A1_0280,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>>CC(C)(C=O)CCC#N,US20090133716A1_C00107,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>>CC(C)(C=O)CCC#N,US20090137191A1_C00109,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>CO>CC(C)(C=O)CCC#N,US20090133716A1_0228,,3.11.92,Michael addition
C=CC#N.CC(C)C=O>CO>CC(C)(C=O)CCC#N,US20090137191A1_0202,,3.11.92,Michael addition
C=CC(C)=O.COc1cc2CC(C(c2cc1Cl)=O)CCF>[Br-].C=C[C@H]1C[N+]2(CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc21)Cc1ccc(cc1)C(F)(F)F.Cc1ccccc1.O[K].ClCCl>CC(=O)CCC1(Cc2cc(c(cc2C1=O)Cl)OC)CCF |f:2.3|,US20090163559A1_0223,"Example 1, Step 4",3.11.92,Michael addition
C=C(C)C(=O)OCCN(CC)c1ccc(cc1)/N=N/c1ccc(cc1)[N+]([O-])=O.N#Cc1ccc(cc1)-c1ccc(cc1)OCCOC(=O)CC(=O)OCCOc1ccc(cc1)-c1ccc(cc1)C#N>CC(C)(C)O[K].C1CCOC1>CC(CC(C(=O)OCCOc1ccc(cc1)-c1ccc(cc1)C#N)C(=O)OCCOc1ccc(cc1)-c1ccc(cc1)C#N)C(=O)OCCN(CC)c1ccc(cc1)/N=N/c1ccc(cc1)[N+]([O-])=O,US20090182107A1_C00016,,3.11.92,Michael addition
C=CC(C)=O.O=C1CCCC(C1)=O>CCN1CCCN2CCCCC[C+]12>CC(=O)CCC1C(CCCC1=O)=O,US20090216015A1_C00031,,3.11.92,Michael addition
C=CC(C)=O.O=C1CCCC(C1)=O>>CC(=O)CCC1C(CCCC1=O)=O,US20090216015A1_C00032,,3.11.92,Michael addition
C=CC#N.CN(C)C1(CCC(CC1)=O)c1ccccc1>Cc1ccccc1.COc1ccc(cc1)O.CC(=O)O.NC1CCCCC1>CN(C)C1(CCC(C(C1)CCC#N)=O)c1ccccc1,US20090247561A1_0351,,3.11.92,Michael addition
COC(=O)CC(=O)OC.O=C1C=CCC1>Cc1ccccc1.C1CN=C2NCCCN2C1>COC(=O)C(C(=O)OC)C1CCC(C1)=O,US20090253677A1_0322,Intermediate 107,3.11.92,Michael addition
C=CC(C)=O.O=C1CCCC(C1)=O>>CC(=O)CCC1C(CCCC1=O)=O,US20090270248A1_C00029,,3.11.92,Michael addition
C=CC(C)=O.O=C1CCCC(C1)=O>CC(C)(C)O[K]>CC(=O)CCC1C(CCCC1=O)=O,US20090270248A1_C00030,,3.11.92,Michael addition
C=CC(=O)OCC.COC(=O)CC(=O)OC>C1CCOC1.[NaH]>COC(=O)C(CCC(=O)OCC)C(=O)OC,US20090270374A1_C00031,,3.11.92,Michael addition
C=CC(=O)OCC.COC(=O)CC(=O)OC>C1CCOC1.[NaH]>COC(=O)C(CCC(=O)OCC)C(=O)OC,US20090270374A1_1227,"Example 126, Step f",3.11.92,Michael addition
C=CC(=O)OCC.COC(=O)CC(=O)OC>C1CCOC1.[NaH]>COC(=O)C(CCC(=O)OCC)C(=O)OC,US20090270374A1_1407,,3.11.92,Michael addition
